"location","text"
"Odor._1.1","ὁ@l-p---fn- ὀσμή@n-p---fn- ὁ@l-s---na- μέν@d-------- ὅλος@a-s---na- ἐκ@r-------- μίξις@n-s---fg- εἰμί@v3ppia--- καθά@c-------- ὁ@l-p---mn- χυμός@n-p---mn- ὁ@l-s---nn- γάρ@d-------- ἅμικτος@a-s---nn- ἅπας@a-s---nn- ἄοδμος@a-s---nn- ὥσπερ@c-------- ἄχυμος@a-s---nn- διό@d-------- καί@d-------- ὁ@l-p---nn- ἁπλόος@a-p---nn- ἄοδμος@n-s---nn- οἷος@p-s---na- ὕδωρ@n-s---nn- ἀήρ@n-s---mn- πῦρ@n-s---nn- ὁ@l-s---fn- δέ@g-------- γῆ@n-s---fn- μάλιστα@d-------s ἤ1@c-------- μόνος@a-s---fn- ὀσμή@n-s---fa- ἔχω@v3spia--- διό@d-------- μάλιστα@d-------- μικτός@a-s---fn- ὁ@l-p---fg- δέ@d-------- ὀσμή@n-p---fg- ὁ@l-p---fn- μέν@d-------- ὥσπερ@c-------- ἀειδής@a-p---fa- καί@c-------- ὑδαρής@a-p---fn- καθά@c-------- ἐπί@r-------- ὁ@l-p---mg- χυμός@n-p---mg- ὁ@l-p---fn- δέ@d-------- ἔχω@v-pppafn- τις@p-p---ca- ἰδέα@n-p---fa- ὁ@l-p---fn- δέ@d-------- ἰδέα@n-p---fn- δοκέω@v3ppia--- μέν@d-------- ἀκολουθέω@v--pna--- ὁ@l-p---fd- ὁ@l-p---mg- χυμός@n-p---mg- οὐ@d-------- μήν@d-------- ἔχω@v3ppia--- γε@d-------- πᾶς@a-p---fn- ὁ@l-p---fa- αὐτός@a-p---fa- προσηγορία@n-p---fa- ὥσπερ@c-------- ἐν@r-------- ὁ@l-p---nd- πρότερος@d-------c εἶπον@v1paia--- οὐ@d-------- δέ@c-------- ὅλος@d-------- οὕτως@d-------- διάὁρίζω@v-prpefn- ὁ@l-p---nd- εἶδος@n-p---nd- ὥσπερ@c-------- ὁ@l-p---mn- χυμός@n-p---mn- ἀλλά@c-------- ὡς@c-------- ἄν@d-------- ὁ@l-p---md- γένεσις@n-p---nd- ὅτι@c-------- ὁ@l-p---nn- μέν@d-------- ἄοσμος@n-s---nn- ὁ@l-p---nn- δέ@c-------- κάκοσμα@n-s---nn-"
"Odor._1.2","ὁ@l-s---fg- δέ@d-------- εὐωδία@n-s---fg- καί@c-------- κακωδία@n-s---fg- οὐκέτι@d-------- ὁ@l-p---nn- εἶδος@n-p---nn- κατονομάζω@v3prie--- καίπερ@d-------- ἔχω@v-pppann- διαφορά@n-p---fa- μέγας@a-p---fa- ἐπί@r-------- γε@d-------- αὐτός@p-p---ng- ὁ@l-p---ng- γλυκύς@a-p---ng- καί@c-------- πικρός@a-p---ng- ἀλλά@c-------- δριμύς@a-s---fn- λέγω3@v3spie--- καί@c-------- ἰσχυρός@a-s---fn- καί@c-------- μαλακός@a-s---fn- καί@c-------- γλυκύς@a-s---fn- καί@c-------- βαρύς@a-s---fn- ὀσμή@n-s---fn- κοινός@a-p---fn- δέ@d-------- ἔνιοι@a-p---fn- οὗτος@p-p---ng- καί@c-------- ὁ@l-p---fg- κακός@a-p---fg- ὁ@p-s---fn- δέ@d-------- καθόλου@d-------- καί@d-------- ὥσπερ@c-------- ἐπί@r-------- πᾶς@a-p---nd- ὁ@l-p---nd- διαφθείρω@v-pppend- σαπρότης@a-s---fn- ἅπας@a-s---nn- γάρ@d-------- ὁ@l-s---nn- σήπω@v-sppenn- κακώδης@a-s---nn- εἰ@c-------- μή@d-------- τις@p-s---cn- ὁ@l-s---fa- ὀξύτης@n-s---fa- λέγω3@v3spia--- ὁ@l-s---mg- οἶνος@n-s---mg- σαπρότης@a-s---fa- ὁ@l-s---fd- ὁμοιότης@n-s---fd- ὁ@l-s---fg- φθορά@n-s---fg-"
"Odor._1.3","ἐν@r-------- ἅπας@a-p---nd- δέ@d-------- εἰμί@v3spia--- ὁ@l-s---fn- ὁ@l-s---ng- σαπρός@n-s---mg- κακωδία@n-s---fn- καί@d-------- ἐν@r-------- φυτόν@n-p---nd- καί@d-------- ἐν@r-------- ζώιον@n-p---nd- καί@c-------- ἐν@r-------- ὁ@l-p---nd- ἄψυχος@a-p---nd- ἐν@r-------- ἅπας@a-p---nd- δέ@d-------- διαφθείρω@v-pppemd- ὅς@p-p---ng- μή@d-------- ὁ@l-s---fn- σύστασις@n-s---fn- εὐθύς2@d-------- ἐκ@r-------- τοιοῦτος@a-s---fg- ὕλη@n-s---fg- ἔχω@v3spia--- γάρ@d-------- ἔνιοι@a-p---nn- καί@d-------- ὁ@l-s---fa- ὁ@l-s---fg- ὕλη@n-s---fg- ὀσμή@n-s---fa- οὐ@d-------- μήν@d-------- ἐπί@r-------- πᾶς@a-p---mg- γε@d-------- οὗτος@p-s---nn- ἀκολουθέω@v3spia--- πολύς@a-p---nn- γάρ@d-------- οὐ@d-------- κακώδης@a-p---nn- ὁ@p-p---nn- ἐκ@r-------- ὁ@l-p---ng- σαπρός@a-p---ng- ὡς@c-------- οὐ@d-------- δέ@c-------- ὁ@l-p---mn- μύκητ@n-p---mn- ὁ@l-p---mn- ἐκ@r-------- ὁ@l-s---fg- κόπρος@n-s---fg- φύω@v-pppemn- ὁ@l-p---nn- δέ@d-------- ἐκ@r-------- σῆψις@n-s---fg- φύω@v-pppenn- καί@c-------- συνιστάω@v-pppenn- κακώδης@a-p---nn- ἄοσμος@n-p---nn- μέν@d-------- οὖν@d-------- ὡς@c-------- ἁπλῶς@d-------- εἶπον@v--ana--- ὁ@l-p---na- πέπνυμαι@v-prpena- καί@d-------- λεπτός@a-p---na- καί@c-------- ἥκιστος@a-p---nas γεώδης@a-p---na- ὁ@l-s---nn- γάρ@d-------- ὁ@l-s---fg- ὀσμή@n-s---fg- ἐν@r-------- ἀναπνοή@n-s---fd- κακώδης@a-p---nn- δέ@d-------- δηλονότι@d-------- ὁ@l-p---nn- ἐναντίος@a-p---nn- πολύς@a-p---nn- δέ@d-------- ὥσπερ@c-------- ὁ@l-p---ng- γλυκύς@a-p---ng- ἐμφαίνω@v3spia--- τις@p-p---na- πικρότης@n-s---fn- καί@c-------- ὁ@l-p---ng- εὐωδής@a-p---ng- βαρύτης@n-s---fn- ὁ@l-p---fd- ὀσμή@n-p---fd-"
"Odor._2.4","ἔχω@v3spia--- δέ@d-------- ἕκαστος@a-s---ma- ὀσμή@n-s---fa- ἴδιος@a-s---fa- καί@c-------- ζώιον@n-p---ng- καί@c-------- φυτόν@n-p---ng- καί@c-------- ὁ@l-p---ng- ἄψυχος@a-p---ng- ὅσος@p-p---nn- ὀσμώδης@a-p---nn- πολύς@a-p---nn- δέ@d-------- ἐγώ@p1p---md- οὐ@d-------- φαίνω@v3spie--- διά@r-------- ὁ@l-s---na- κακός@a-s---fas ἔχω@v--pna--- ὁ@l-s---fa- αἴσθησις@n-s---fa- οὗτος@a-s---fa- ὡς@c-------- εἶπον@v--ana--- ἐπεί@c-------- ὁ@l-p---md- γε@d-------- ἄλλος@p-p---md- καί@d-------- ὁ@l-p---na- παντελής@d-------- ἄοδμος@n-p---nn- φαίνω@v-pppenn- δίδωμι@v3spia--- τις@a-s---fa- ὀσμή@n-s---fa- ὥσπερ@c-------- ὁ@l-p---fn- κριθή@n-p---fn- ὁ@l-p---nd- ὑποζύγιον@n-p---nd- ὁ@l-p---fn- ἐκ@r-------- ὁ@l-s---fg- κεδροπόλιος@n-s---fg- ὅς@p-p---fa- οὐ@d-------- ἐσθίω@v3ppia--- διά@r-------- ὁ@l-s---fa- κακωδία@n-s---fa- ἐγώ@n-s---fg- δέ@d-------- καί@c-------- ὁ@l-p---fn- ὁ@l-p---ng- ζώιον@n-p---ng- λανθάνω@v3ppia--- ὁ@l-p---fg- ὀσμώδης@a-p---ng- δοκέω@v-pppang- εὐωδία@n-s---md- μέν@d-------- οὖν@d-------- οὐδείς@p-s---na- φαίνω@v3spie--- κατά@r-------- ἑαυτοῦ@p-s---na- χαίρω@v--pna--- ὡς@c-------- εἶπον@v--ana--- ἀλλά@c-------- ὅσος@a-p---nn- πρός@r-------- ὁ@l-s---fa- τροφή@n-s---fa- καί@c-------- ὁ@l-s---fa- ἀπόλαυσις@n-s---fa- πονέω@v--pna--- δέ@d-------- ἔνιοι@a-p---nn- φαίνω@v3spie--- ὁ@l-p---fd- ὀσμή@n-p---fd- καί@c-------- ὁ@l-p---fd- εὐωδία@n-p---fd- εἴπερ@c-------- ἀληθής@a-s---nn- ὁ@l-s---nn- ἐπί@r-------- ὁ@l-p---mg- γύψ@n-p---mg- καί@c-------- ὁ@l-p---mg- κάνθαρος@n-p---mg- οὗτος@p-s---nn- δέ@d-------- δῆλος@a-s---nn- ὡς@c-------- διά@r-------- ἐναντίωσις@n-s---fa- ὁ@l-s---fg- ἐν@r-------- αὐτός@p-p---nd- φύσις@n-s---fg- ὡς@d-------- δέ@d-------- κατά@r-------- ἕκαστος@a-s---na- ἅμα@d-------- δεῖ@v3siia--- ὁ@l-s---fa- γε@d-------- κρᾶσις@n-s---fa- ὁ@l-s---fa- ἕκαστος@a-s---mg- καί@c-------- ὁ@l-s---fa- ὁ@l-s---fg- ὀσμή@n-s---fg- λαμβάνω@v--pna--- δύναμις@n-s---fa-"
"Odor._2.5","εἰμί@v3ppia--- μέν@d-------- οὖν@d-------- ἔνιοι@a-p---fn- ὁ@l-p---ng- εὔοσμος@a-p---ng- καί@c-------- ἐν@r-------- ὁ@l-p---fd- τροφή@n-p---fd- οἷος@p-s---nn- ὁ@l-p---fn- ὁ@l-p---fg- ἀκρόδρυα@a-p---ng- καί@c-------- ἄπιος@a-p---ng- καί@c-------- μῆλον@n-p---ng- οὗτος@p-p---fn- γάρ@d-------- ἄνευ@r-------- ὁ@l-s---fg- προσφορά@n-s---fg- ἡδύς@a-p---fn- καί@c-------- μᾶλλον@d-------- ὡς@c-------- εἶπον@v--ana--- οὐ@d-------- μήν@d-------- ἀλλά@c-------- ὡς@c-------- γε@d-------- ἁπλῶς@d-------- διαιρέω@v--ana--- ὁ@l-p---fn- μέν@d-------- εἰμί@v3ppia--- κατά@r-------- ἑαυτοῦ@p-p---fa- ὁ@l-p---fn- δέ@c-------- κατά@r-------- συμβαίνω@v-srpana- ὁ@l-p---fn- μέν@d-------- ὁ@l-p---fg- χυλός@n-p---mg- καί@c-------- ὁ@l-s---fg- τροφή@n-s---fg- κατά@r-------- συμβαίνω@v-srpann- ὁ@l-p---fn- δέ@d-------- ὥσπερ@c-------- ὁ@l-p---mg- ἄνθος@n-p---fg- κατά@r-------- ἑαυτοῦ@p-p---fa- ὡς@d-------- δέ@g-------- ἐπίπαν@d-------- ὁ@l-p---nn- ἄοσμος@n-p---nn- καθά@d-------- καί@d-------- πρότερος@a-s---na- λέγω3@v3saip--- δύσχυμος@a-p---nn- καί@c-------- στρυφνός@a-p---nn- καί@c-------- ὑπόπικρος@a-p---nn- ἔνιοι@a-p---nn- δέ@d-------- ὁ@l-p---ng- εὔχυμος@a-p---ng- καί@c-------- κακώδης@a-p---nn- καθά@c-------- καί@d-------- ὁ@l-s---nn- αἰγύπτιος@a-s---nn- καλέω@v-sppema- σῦκον@n-s---ma- γλυκύς@a-s---nn- εἰμί@v-sppann- καί@d-------- εἰ@c-------- μή@d-------- πανταχοῦ@d-------- ἀλλά@c-------- ἐνιαχοῦ@d-------- καί@c-------- ὁ@l-s---fn- ἄρκευθος@a-s---fn- ἐμφαίνω@v3spia--- τις@p-s---ca- ὁ@l-s---fd- μασάομαι@n-s---fd- κακωδία@n-s---fa- γλυκύς@a-s---fn- εἰμί@v-sppafn- ὁ@l-s---nn- δέ@d-------- οὖρος@n-s---ma- ποιέω@v3spia--- εὐώδης@a-s---na-"
"Odor._2.6","ἐπεί@c-------- δέ@d-------- ὁ@l-p---fg- ὀσμή@n-p---fg- ὁ@l-p---fn- μέν@d-------- ἐν@r-------- φυτόν@n-p---nd- καί@c-------- ὁ@l-p---nd- οὗτος@p-p---mg- μόριον@n-p---nd- οἷος@p-s---nn- κλώς@n-p---md- φύλλον@n-p---nd- φλοιός@n-p---md- καρπός1@n-p---md- δάκρυον@n-p---nd- ὁ@l-p---fn- δέ@d-------- ὥσπερ@c-------- διαιρέω@v1ppia--- ἐν@r-------- ζώιον@n-p---nd- καί@c-------- ὁ@l-p---nd- ἄψυχος@a-p---nd- οὗτος@p-p---fn- μέν@d-------- φανερός@a-s---nn- ὅτι@c-------- πέψις@n-s---fa- ἕκαστος@a-p---fn- λαμβάνω@v3ppia--- ἐν@r-------- ὁ@l-p---nd- οἰκεῖος@a-p---nd- καί@d-------- ὁ@l-s---nn- εὐώδης@a-s---nn- καί@c-------- κακώδης@a-s---nn- ἀκολουθέω@v3spia--- κατά@r-------- ὁ@l-p---fa- οἰκεῖος@a-p---fa- φύσις@n-p---fa- ὁ@l-s---fn- δέ@d-------- πέψις@n-s---fn- ὁ@l-s---nd- οἰκεῖος@a-s---nd- θερμός@a-s---nd- ἐν@r-------- δέ@d-------- ὁ@l-p---md- ἄψυχος@n-p---md- ὁ@l-p---fd- ὁ@l-p---ng- ἁπλόος@a-p---mg- δύναμις@n-p---fd- καί@d-------- γίγνομαι@v3ppie--- καί@c-------- μεθίστημι@v3ppie--- καθά@c-------- ὁ@l-p---mn- χυμός@n-p---mn-"
"Odor._3.7","ὅσος@p-p---fn- δέ@d-------- δή@d-------- κατά@r-------- τέχνη@n-s---fa- καί@c-------- ἐπίνοια@n-s---fa- γίγνομαι@v3ppie--- περί@r-------- οὗτος@p-p---ng- πειρατέος@a-s---nn- εἶπον@v--ana--- ὥσπερ@c-------- καί@d-------- περί@r-------- ὁ@l-p---fg- χυλός@n-p---mg- ἐν@r-------- ἄμφω@a-d---mg- δέ@d-------- δῆλος@a-s---nn- ὡς@c-------- ἀεί@d-------- πρός@r-------- ὁ@l-s---na- βελτίων@a-s---nac ἐγώ@p1p---md- ὁ@l-s---fn- ἀναφορά@n-s---fn- πᾶς@a-s---fn- γάρ@d-------- τέχνη@n-s---fn- στοχάζομαι@v3spie--- οὗτος@p-s---ng- εἰμί@v3ppia--- μέν@d-------- οὖν@d-------- καί@d-------- ὁ@l-p---md- ἄμικτος@a-p---md- ὀσμή@n-p---fn- τις@p-p---cn- πρός@r-------- ὅς@p-p---fa- συνεργέω@v--pna--- πειράω@v3ppie--- καί@d-------- ὁ@l-p---fd- παρά@r-------- σκευή@n-p---fd- ὡς@c-------- καί@c-------- ὁ@l-p---fd- ὁ@l-p---fg- χυμός@n-p---fg- εὐστομέω@d-------- μία@a-p---fd- οὐ@d-------- μήν@d-------- ἀλλά@c-------- ὡς@c-------- γε@d-------- ἁπλῶς@d-------- εἶπον@v--ana--- ἐν@v3sasa--- μῖξις@v3sfia--- ὁ@l-s---nn- πλέος@a-s---nnc καί@c-------- οὕτως@d-------- ὁ@l-p---fn- δύο@m-d----g- μέν@d-------- ὡς@c-------- ὁ@l-s---nd- γένος@n-s---nd- λαμβάνω@v--ana--- ὑγρός@a-s---ng- καί@c-------- ξηρός@a-s---ng- τριχῶς@d-------- δέ@d-------- γίγνομαι@v3ppie--- γίγνομαι@v3ppie--- ὅταν@c-------- ἤ1@c-------- ὁμογενής@a-s---nn- ὁμογενής@v3spia--- ἤ1@c-------- παραλλάσσω@a-s---nn- ὁ@l-s---md- παραλλάσσω@v-sppamd- ὁ@l-s---fn- ὑγρός@a-s---md- ὑγρός@a-s---nn- ὁ@l-s---fn- ξηρός@a-s---nd- ξηρός@a-s---nn- ἤ1@c-------- ὑγρός@a-s---md- ξηρός@a-s---nn-"
"Odor._3.8","ἐκ@r-------- δύο@a-d---ng- γάρ@d-------- οὗτος@p-p---ng- καί@d-------- ὁ@l-s---fn- ὁ@l-p---mg- χυλός@n-p---mg- καί@c-------- ὁ@l-p---mg- ὀσμή@n-p---mg- γένεσις@n-s---fn- ὡς@c-------- μέν@d-------- ὁ@l-p---mn- ὁ@l-p---na- ἄρωμα1@n-p---na- καί@c-------- ὁ@l-p---na- διάπαυμα@n-p---na- συντίθημι@v-pppamn- ξηρός@a-p---md- πρός@r-------- ξηρός@a-p---na- ὡς@c-------- δέ@d-------- ὁ@l-p---mn- ὁ@l-p---na- μύρον@n-p---na- κεράννυμι@v-pppamn- ἤ1@c-------- ὁ@l-s---md- οἶνος@n-s---md- ἐπιχέω@v-sppamg- ὑγρός@a-p---nd- πρός@r-------- ὑγρός@n-p---na- ὁ@l-s---nn- δέ@d-------- τρίτος@a-s---nn- ὅς@p-s---nn- καί@d-------- πλεῖστος@a-s---nn- εἰμί@v3spia--- ὡς@c-------- ὁ@l-p---mn- μυρεψός@n-p---mn- ξηρός@a-p---nd- πρός@r-------- ὑγρός@n-p---na- πᾶς@a-s---ng- γάρ@d-------- μύρον@n-s---ng- καί@c-------- χρῖσμα@n-s---ng- ὁ@l-s---fn- σύνθεσις@n-s---fn- οὗτος@p-s---fn- δεῖ@v3siia--- δέ@d-------- οἶδα@v--rna--- ποῖος@a-p---fn- ποῖος@a-p---md- εὔμικτος@a-p---fn- καί@c-------- ποῖος@p-p---fn- ποῖος@p-p---nd- συνεργέω@v3ppia--- εἰς@r-------- ὁ@l-s---na- ποιέω@v--pna--- εἷς@a-s---fa- ὥσπερ@c-------- ἐπί@r-------- ὁ@l-p---mg- χυμός@n-p---mg- καί@c-------- γάρ@d-------- ἐκεῖ@d-------- ὁ@l-s---na- αὐτός@a-s---na- οὗτος@p-s---na- ζητέω@v3ppia--- ὁ@l-p---mn- μίγνυμι@v-pppamn- καί@c-------- οἷος@a-s---na- ἀρτύω@v-pppamn- οὗτος@p-p---nn- μέν@d-------- οὖν@d-------- ἐν@r-------- ὅς@p-p---nd- καί@c-------- διά@r-------- ὅς@p-p---ng- ὁ@l-p---fn- τέχνη@n-p---fn- ποιέω@v3ppie--- ὁ@l-p---na- τέλος@n-p---na-"
"Odor._3.9","μίγνυμι@v3ppie--- δέ@d-------- ὁ@l-p---na- μέν@d-------- αὐτός@a-s---fg- ὁ@l-s---fg- ὀσμή@n-s---fg- ἕνεκα@r-------- καί@c-------- πρός@r-------- οὗτος@a-s---fa- ὁ@l-s---fa- αἴσθησις@n-s---fa- ὁ@l-p---nn- δέ@c-------- ὥσπερ@d-------- ἡδύνω@v--pna--- βούλομαι@v-pppenn- ὁ@l-s---fa- γεῦσις@n-s---fa- οἷος@a-s---na- ὡς@c-------- ὁ@l-p---mn- ὁ@l-p---na- μύρον@n-p---na- ὁ@l-p---md- οἶνος@n-p---md- ἐπιχέω@v-pppamn- ἤ1@c-------- ὁ@l-p---na- ἄρωμα1@n-p---na- ἐμβάλλω@v-pppamn- ὁ@l-p---fn- γάρ@d-------- αἴσθησις@n-p---fn- σύνεγγυς@d-------- εἰμί@v-pppafn- ποιέω@v3ppia--- τις@a-s---fa- ἀπόλαυσις@n-s---fa- ἀλλήλων@p-p---mg- ὅθεν@d-------- καί@d-------- αὐτός@a-p---md- ὁ@l-p---md- γευστός@a-p---md- ζητέω@v-pppamd- ὁ@l-p---fa- εὐωδία@n-p---fa-"
"Odor._3.10","ἀπορέω@v3saoa--- δέ@d-------- ἄν@d-------- τις@p-s---mn- ἴσως@d-------- διά@r-------- τίς@p-s---na- ποτέ@d-------- μύρον@n-s---nn- καί@c-------- ὁ@l-p---nn- ἄλλος@p-p---nn- ἄοσμος@n-s---nn- ὁ@l-p---ma- μέν@d-------- οἶνος@n-p---ma- ἡδύνω@v3spia--- ὁ@l-p---ng- δέ@d-------- βρῶμα@n-p---ng- οὐδείς@p-s---na- ἀλλά@c-------- πᾶς@a-p---nn- λυμαίνομαι@v3spie--- καί@d-------- ἀπύρωτος@a-p---nn- καί@c-------- καίω@v-prpena- ὁ@l-s---nn- δέ@d-------- αἴτιος@a-s---nn- ὑποληπτέον@a-s---nn- ὅτι@c-------- συμβαίνω@v3spia--- ὁ@l-p---ng- μέν@d-------- ξηρός@a-p---ng- ἀφαιρέω@v--pne--- τε@d-------- ὁ@l-s---ma- οἰκεῖος@a-s---ma- χυλός@n-s---ma- διά@r-------- ὁ@l-s---fa- ἰσχύς@n-s---fa- καί@c-------- ἅμα@d-------- συνεπιφαίνω@v--pna--- ὁ@l-s---ma- ἑαυτοῦ@p-s---mg- εἰμί@v-sppama- στρυφνός@a-s---ma- καί@c-------- ὑπόπικρος@a-s---ma- ἅπας@a-s---nn- γάρ@d-------- ὁ@l-s---nn- ἄοσμος@a-s---nn- τοιοῦτος@p-s---nn- διαμασάομαι@v-pppemd- δέ@c-------- μᾶλλον@d-------c ἐμφανής@a-s---nn- διά@r-------- τε@d-------- ὁ@l-s---fa- θλίψις@n-s---fa- καί@c-------- τομή@n-s---fa- καί@c-------- ἔτι@d-------- ὁ@l-s---nd- χρονίζω@v--pne---"
